RunId,iteration,Step,env_type,threshold_mean,threshold_std,observation_radius,n_agents,repression_step,instigator_threshold,dispersal_duration,cell_capacity,max_steps,seed,Mobilized,Dispersing,Sheltered,Demobilized,MobilizedProportion
213,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,32,0,53,115,0.16
214,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,103,0,1,96,0.515
215,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,19,0,73,108,0.095
216,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,22,0,55,123,0.11
217,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,34,0,56,110,0.17
218,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,18,0,71,111,0.09
219,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,16,0,71,113,0.08
220,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,48,0,53,99,0.24
221,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,30,0,55,115,0.15
222,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,35,0,54,111,0.175
223,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,41,0,46,113,0.205
224,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,34,0,50,116,0.17
225,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,30,0,59,111,0.15
226,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,18,0,58,124,0.09
227,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,58,0,32,110,0.29
228,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,26,0,57,117,0.13
229,0,99,mixed,0.25,0.2,0,200,1,0.15,3,15,100,,48,0,48,104,0.24
230,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,24,0,64,112,0.12
231,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,67,0,23,110,0.335
232,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,28,0,60,112,0.14
233,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,25,0,58,117,0.125
234,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,52,0,45,103,0.26
235,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,35,0,53,112,0.175
236,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,20,0,53,127,0.1
237,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,24,0,72,104,0.12
238,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,28,0,66,106,0.14
239,0,99,mixed,0.25,0.2,1,200,1,0.15,3,15,100,,25,0,56,119,0.125
240,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,3,0,84,113,0.015
241,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,11,0,78,111,0.055
242,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,1,0,83,116,0.005
243,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,10,0,83,107,0.05
244,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,6,0,93,101,0.03
245,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,14,0,74,112,0.07
246,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,6,0,82,112,0.03
247,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,10,0,87,103,0.05
248,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,5,0,95,100,0.025
249,0,99,mixed,0.3,0.1,0,200,1,0.15,3,15,100,,4,0,98,98,0.02
250,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,5,0,91,104,0.025
251,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,2,0,97,101,0.01
252,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,6,0,90,104,0.03
253,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,2,0,84,114,0.01
254,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,4,0,85,111,0.02
255,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,2,0,95,103,0.01
256,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,10,0,87,103,0.05
257,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,5,0,87,108,0.025
258,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,9,0,73,118,0.045
259,0,99,mixed,0.3,0.1,1,200,1,0.15,3,15,100,,11,0,78,111,0.055
260,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,19,0,70,111,0.095
261,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,22,0,66,112,0.11
262,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,29,0,64,107,0.145
263,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,15,0,64,121,0.075
264,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,20,0,62,118,0.1
265,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,19,0,74,107,0.095
266,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,21,0,69,110,0.105
267,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,18,0,70,112,0.09
268,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,25,0,60,115,0.125
269,0,99,mixed,0.3,0.15,0,200,1,0.15,3,15,100,,15,0,72,113,0.075
270,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,4,0,73,123,0.02
271,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,17,0,86,97,0.085
272,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,14,0,67,119,0.07
273,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,13,0,80,107,0.065
274,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,21,0,67,112,0.105
275,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,13,0,81,106,0.065
276,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,12,0,78,110,0.06
277,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,15,0,73,112,0.075
278,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,12,0,89,99,0.06
279,0,99,mixed,0.3,0.15,1,200,1,0.15,3,15,100,,10,0,66,124,0.05
280,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,38,0,47,115,0.19
281,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,25,0,61,114,0.125
282,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,32,0,70,98,0.16
283,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,38,0,47,115,0.19
284,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,25,0,69,106,0.125
285,0,99,mixed,0.3,0.2,0,200,1,0.15,3,15,100,,24,0,56,120,0.12
